Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
2742,"Ambitions des francophones du Sud-Est de l'Ontario par rapport aux Collèges Algonquin et Saint-Laurent : Prescott-Russell, Ottawa-Carleton, Stormont-Dundas-Glengarry",,"DESJARDINS, Louis M.|FU, Lewis",,,,,1977,1977-01-01,1977-12-31,,"xxvii, 235 p.",Conseil consultatif des affaires franco-ontariennes,Toronto,,Ontario,Éducation|Post-secondaire
2743,Rapport sur l'enseignement du français et l'enseignement en anglais en milieu minoritaire et sur l'enseignement de l'anglais ou du français langue seconde,,,,,,,1985,1985-01-01,1985-12-31,,,"Canada, Conseil des ministres de l'éducation",Toronto,Disponible en anglais : Report on French and English Language Education in Minority Setting and the Teaching of English and French as Second Languages.,,Éducation|Pédagogie
2744,L'état de l'enseignement dans la langue de la minorité dans les provinces et les territoires du Canada,,Conseil des ministres de l'éducation,,,,,1983,1983-01-01,1983-12-31,,228 p.,"Canada, Conseil des ministres de l'éducation",Toronto,,,Éducation|Pédagogie
2745,Les jeunes et l'éducation : une étude des 15-24 ans dans les systèmes d'éducation au Canada,,Direction de l'analyse des tendances sociales,,,,,1985,1985-01-01,1985-12-31,,136 p.,"Secrétariat d'État, Direction générale de la coordination des politiques de l'analyse et des systèmes de gestion",Ottawa,,,Éducation|École|Populations|Jeunes
2746,"L'éducation postsecondaire : position de DJ, FESFO et FEO",,Direction Jeunesse,,,,,1988,1988-01-01,1988-12-31,,,Direction Jeunesse et Fédération des jeunes Canadiens-français,Ottawa,,Ontario,Éducation|École|Populations|Jeunes
2747,Il faut que ça bouge,,Direction Jeunesse,,,,,1982,1982-01-01,1982-12-31,,,Direction Jeunesse,Ottawa,,Ontario,Éducation|École|Populations|Jeunes
2748,Revue de l'Association canadienne d'éducation de langue française,L'administration scolaire en langue française au Nouveau-Brunswick,"DOUCET, Azarias",,,11,1,1983,1983-01-01,1983-12-31,,pp. 6-7,,,,Acadie,Éducation|Administration
2749,Revue de l'Association canadienne d'éducation de langue française,Le système d'éducation en Saskatchewan,"DUBOIS, Gustave",,,11,1,1983,1983-01-01,1983-12-31,,pp. 29-31,,,,Ouest|Sakatchewan,Éducation|Administration
2750,Acte du premier colloque national sur la formation,La mise sur pied d'un réseau d'éducation des adultes en milieu minoritaire de la Saskatchewan,Colloque national sur la formation,"MICHAUD, Donald",,,,1989,1989-01-01,1989-12-31,,100 p.,Fédération des francophones hors Québec,Ottawa,"Actes du colloque tenu à Hull les 23, 24 et 25 septembre 1989.",Ouest|Saskatchewan,Éducation|Personnel
2751,"Langue de la minorité et langue seconde dans l'enseignement, niveaux élémentaire et secondaire 1985-1986",,Fédération des francophones hors Québec,,,,,1987,1987-01-01,1987-12-31,,,Fédération des francophones hors Québec,Hull,,,Éducation|École
2752,Actes du colloque national sur l'enseignement postsecondaire en langue française à l'extérieur du Québec,Situation actuelle et recherche de scénarios d'un développement d'aide aux communautés francophones hors Québec,"ARCHIBALD, Clinton",,,,,1985,1985-01-01,1985-12-31,,122 p.,Fédération des francophones hors Québec,Ottawa,"Actes du colloque tenu à Ottawa les 10, 11, 12 mai 1985.",,Éducation|Post-secondaire
2753,Mini-séminaire sur l'alphabétisation et les approches d'alphabétisation,Analphabétisme chez les francophones hors Québec,,,,,,1983,1983-01-01,1983-12-31,,51 p.,Fédération des francophones hors Québec,Ottawa,"Rapport d'un mini-séminaire sur l'alphabétisme tenu à Val-Morin les 28, 29 et 30 mars 1983.",,Éducation|Pédagogie
2754,A la recherche du milliard : analyse critique des programmes fédéraux de langues officielles dans l'enseignement,,"CHEVRIER, Richard",,,,,1981,1981-01-01,1981-12-31,,67 p.,Fédération des francophones hors Québec,Ottawa,,,Langue|Politique|Politique|Administration
